Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1946,"Feruk",8.3,-64,107.6,
1949,"Festa",35.3,11.5,27.2,
1951,"Fetu-ao Vallis",400,-61,-105.3,
1962,"Fiona",3.5,5,166.6,
1965,"Firuza",6,51.8,108,
1971,"Flagstad",39.2,-54.3,18.9,
1980,"Flidais Corona",150,-24.5,177.3,
1983,"Florence",10.5,-15.2,85,
1985,"Flosshilde Farra",75,10.5,-80.6,
1986,"Flutra",6,-68.4,112,
1993,"Fonueha Planitia",3000,-44,48,
1994,"Fornax Rupes",729,30.3,-158.9,
1997,"Fortuna Tessera",2801,69.9,45.1,
1998,"Fossey",30.4,2,-171.3,
2000,"Fotla Corona",150,-58.5,163.5,
2002,"Fouquet",47.8,-15.1,-156.5,
2010,"Francesca",17,-28,57.7,
2013,"Frank",22.7,-13.1,12.9,
2017,"Fredegonde",25.2,-50.5,93.3,
2024,"Freyja Montes",579,74.1,-26.2,
2025,"Friagabi Fossae",141,50.2,109.5,
2026,"Frida",21.6,68.2,55.6,
2028,"Frigg Dorsa",896,51.2,150.6,
2032,"Frosya",9.8,29.5,113.4,
2035,"Fufei Vallis",170,46,-19,
2037,"Fukiko",13.9,-23.1,105.8,
2042,"Furki Tholus",79,35.9,-123.6,
2048,"Gabie Rupes",350,67.5,109.9,
2050,"Gabriela",17.5,-17.8,-119.6,
2057,"Gahano",4.5,-80.2,77.4,
2059,"Gaia Corona",400,6,21.5,
2060,"Gail",10,-16.1,97.5,
2077,"Galina",16.8,47.6,-52.9,
2078,"Galindo",23.8,-23.3,-101.2,
2087,"Gamsilg Chasma",600,-46,64,
2093,"Ganga Valles",200,4.8,53,
2098,"Ganiki Planitia",5160,40,-158,
2099,"Ganis Chasma",3700,18,-171,
2103,"Garbo Patera",75,1.5,-101.8,
2108,"Garland Patera",45,32.7,-153.2,
2110,"Gashan-Ki Corona",225,11.7,-116.3,
2118,"Gauri Mons",75,-20.2,102.2,
2121,"Gautier",59.3,26.3,42.8,
2125,"Gaze",33.3,17.9,-119.8,
2126,"Gbadu Tessera",700,-1,38,
2130,"Gefjun Corona",300,-33.5,98.5,
2131,"Gegute Tessera",1600,17,121,
2139,"Gendenwitha Vallis",900,-63,-101,
2141,"Gentileschi",20.5,45.2,-99.4,
2142,"Georgina",5.9,-20.4,58.8,
2145,"Gerd Tholi",50,-54.5,-68.5,
2147,"Germain",35.5,-37.9,63.7,
2149,"Gertjon Corona",250,-30,-84,
2152,"Geyaguga Chasma",800,-56.5,70,
2162,"Giliani",19.9,-72.9,142.1,
2165,"Gillian",14.7,-15.2,50.1,
2166,"Gilmore",21.3,-6.7,132.8,
2167,"Giltine Tesserae",300,-39,-110,
2168,"Gina",14.6,78.1,76.5,
2177,"Giselle",10.4,-11.8,-62,
2183,"Glaspell",26.3,-58.4,-90.4,
2193,"Gloria",20.7,68.5,94.2,
2202,"Godiva",30.7,-56.1,-108.4,
2203,"Goeppert-Mayer",33.5,59.7,26.8,
2216,"Golubkina",28.4,60.3,-73.5,
2218,"Goncharova",30.3,-63,97.7,
2231,"Grace",19,-13.8,-91.1,
2235,"Graham Patera",75,-6,6,
2240,"Gražina",16.5,72.4,-22.5,
2242,"Grechukha Tholi",200,-8.6,-104.2,
2245,"Greenaway",93,22.9,145.1,
2247,"Gregory",18,7.1,95.8,
2248,"Gretchen",20.8,-59.7,-147.7,
2249,"Grey",50,-52.4,-30.6,
