Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
15774,"Carleton",177,-52.2,56.6,
15775,"Kainan Rupēs",325,-29.8,29.2,
15776,"Meteor Rupēs",990,-47.7,14.3,
15811,"Bellini",45,-33.77,87.17,
15812,"Borobudur Fossae",395,-32.77,88.5,
15815,"Orm Faculae",125,26.58,-59.68,
15816,"Pampu Facula",120.44,-57.76,-31.79,
15817,"Ular Facula",41,-55.1,-29.95,
15818,"Sarpa Facula",39,-53.07,-30.87,
15819,"Havu Facula",23,-52.22,-28.45,
15820,"Bitin Facula",39,-51.55,-28.45,
15846,"Martins",12.4,-8,55.07,
15847,"Grifo Rupes",783,7.9,5.38,
15848,"Soya Rupes",372,-6.47,66.63,
15854,"Angelou",18,80.32,-66.71,
15855,"Josetsu",30,83.58,-134.93,
15856,"Rizal",64,82.48,-146.98,
15857,"Jiménez",27,81.83,-152.31,
15858,"Kirby",31,82.96,-151.32,
15859,"Bunin",37,84.47,-141.76,
15860,"Strauss",17,70.42,74.47,
15865,"Gordimer",58,87.73,-170.9,
